id,address_id,parking_type_name,latitude,longitude,box_number,status,created_at,updated_at,is_all_access,wow_id,name,legacy_address,installation_date,capacity_classic,capacity_cargo,limit_sub_number,code,active,mobib,is_group
337,,BigParking,50.816373,4.289144,,,2019-05-16T14:49:30Z,2019-05-21T10:11:31Z,false,,Ceria,"(M) Ceria, 1080 Grands Parkings",2019-05-15T00:00:00Z,300,0,,GP03,true,false,false
329,,BigParking,50.85136,4.35284,,,2019-04-09T12:44:19Z,2019-05-21T10:11:31Z,false,,De Brouckère,"(M) DE BROUCKÈRE, 1000 Grands Parkings",2019-03-28T00:00:00Z,304,0,,GP02,true,false,false
162,,PrivateParkings,50.872583,4.323861,,,2019-02-05T11:01:51Z,2019-05-21T10:12:07Z,false,,Spiegel,"Place Reine Astrid, 1090 Jette",1970-01-01T00:00:00Z,38,0,,PP01,false,false,false
317,,Big100,50.850982,4.352033,,,2019-02-27T08:31:37Z,2019-02-27T08:46:15Z,true,35257,Brouckère Big gate 2,"Parking De Brouckère, 1000 Bruxelles",2019-02-26T00:00:00Z,100,0,,Brouckère 1.2.2,false,true,false
316,,Big100,50.850982,4.352033,,,2019-02-27T08:31:37Z,2019-02-27T08:46:15Z,true,35256,Brouckère Big gate 1,"Parking De Brouckère, 1000 Bruxelles",2019-02-26T00:00:00Z,100,0,,Brouckère 1.2.1,false,true,false
318,,Big100,50.850982,4.352033,,,2019-02-27T08:31:37Z,2019-02-27T08:46:15Z,true,35258,Brouckère Big gate 3,"Parking De Brouckère, 1000 Bruxelles",2019-02-26T00:00:00Z,100,0,,Brouckère 1.2.3,false,true,false
194,,Box,50.86697,4.332,,,2019-02-05T11:01:55Z,2019-04-11T12:50:37Z,false,35110,Carton,", 1090 Jette",2019-01-18T00:00:00Z,5,0,,JT33,true,true,false
257,,Box,50.8503,4.3517,,,2019-02-05T11:02:04Z,2019-05-15T13:19:21Z,false,,st,"Quai des Charbonnages 30-34 - CyCLO Buro, 1070 Anderlecht",1970-01-01T00:00:00Z,1,0,,CY00,false,false,false
339,,Big100,50.816373,4.289144,,,2019-05-16T14:49:31Z,2019-05-17T07:52:10Z,true,104825,Ceria Big Parking,"Ceria, 1070 ",2018-05-15T00:00:00Z,300,0,,Ceria dag uit,false,true,false
340,,Big100,50.816373,4.289144,,,2019-05-16T14:49:31Z,2019-05-17T07:52:10Z,true,104826,Ceria Big Parking,"Ceria, 1070 ",2018-05-15T00:00:00Z,300,0,,Ceria nacht in,false,true,false
341,,Big100,50.816373,4.289144,,,2019-05-16T14:49:31Z,2019-05-17T07:52:10Z,true,104827,Ceria Big Parking,"Ceria, 1070 ",2018-05-15T00:00:00Z,300,0,,Ceria nacht uit,false,true,false
338,,Big100,50.816373,4.289144,,,2019-05-16T14:49:30Z,2019-05-17T07:52:10Z,true,104824,Ceria Big Parking,"Ceria, 1070 ",2018-05-15T00:00:00Z,300,0,,Ceria dag in,false,true,false
23,,NeighborhoodLocker,50.83254,4.37247,,,2019-02-05T11:01:32Z,2019-05-21T10:07:43Z,false,,Sans Souci,"Rue Sans Souci 120, 1050 Ixelles",2018-03-30T00:00:00Z,9,0,,XLR0,false,false,false
52,,NeighborhoodLocker,50.81104,4.3248,,,2019-02-05T11:01:36Z,2019-05-21T10:07:43Z,false,,Globe,"Av. du Globe 4 x rue d'Huart, 1190 Forest",2018-06-13T00:00:00Z,10,0,,VTR0,true,false,false
