name,code,parkingTypeName,capacityClassic,capacityCargo,latitude,longitude,addressNL,Toegankelijk_voor,Tel,Mail,website,Prijs,Type_Abonnement,,
Nancy-Marolles CARGO,BXR1C,Buurtparking Cargo,0,3,50.83976,4.34768,Nancystraat 5-7,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,120 € / jaar,jaarlijks abonnement,,
Rue de Lausanne,PP05,Privéparking,2,1,50.829249,4.352356,Lausannestraat,abonnees,0493 66 95 33,j.goetgheluck@gmail.com,,240€/ jaar,,,
Ceria/Coovi,GP03,Fietsparking Ceria-Coovi,200,0,50.816373,4.289144,(M) CERIA*COOVI 1070 Anderlecht,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,30 € / jaar,jaarlijks abonnement,
De Brouckère,GP02,Fietsparking de Brouckère,304,0,50.85136,4.35284,(M) DE BROUCKÈRE 1000 Brussel,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,30 € / jaar,jaarlijks abonnement,
Bourse*Beurs,GP01,Fietsparking Beurs,610,18,50.84802,4.34918,(M) BEURS 1000 Brussel,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,30 € / jaar,jaarlijks abonnement,
Payfa,WB07,Fietsbox,5,0,50.79872,4.41805,Payfa-Fosseprezplein 1170 Watermaal-Bosvoorde,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Mûriers I,WB06,Fietsbox,5,0,50.81013,4.39429,Moerbeziebomenlaan x Pleisterstraat 1170 Watermaal-Bosvoorde,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Gratès Bien Faire,WB04,Fietsbox,5,0,50.80677,4.40163,Gratèsstraat x Bien-Fairestraat 1170 Watermaal-Bosvoorde,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Sans Souci,XLR0,Buurtparking,9,1,50.83254,4.37247,Rue Sans Soucistraat 120 1050 Elsene,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Laveleye,JT06,Fietsbox,5,0,50.87455,4.33523,Baron de Laveleyestraat 28 1090 Jette,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Marchal,SK27,Fietsbox,5,0,50.85254,4.38883,Daillyplein x Felix Marchallaan 1030 Schaarbeek,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Carton,JT33,Fietsbox,5,0,50.86697,4.332,Honoré Longtinstraat x Carton de Wiartlaan 1090 Jette,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Garennes,WB03,Fietsbox,5,0,50.80224,4.4145,Konijnenwarandestraat x Drie Lindenstraat 1170 Watermaal-Bosvoorde,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Solvay,XL07,Fietsbox,5,0,50.83614,4.36457,Solvaystraat x Sint-Bonifaasstraat 1050 Elsene,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Rembucher,WB09,Fietsbox,5,0,50.78658,4.42472,Terugdrift 1170 Watermaal-Bosvoorde,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Buis,WB12,Fietsbox,5,0,50.79295,4.42,Buksboomstraat x Terhulpsesteenweg 1170 Watermaal-Bosvoorde,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Dewolfs,WB10,Fietsbox,5,0,50.79604,4.4171,Philippe Dewolfsstraat 3 1170 Watermaal-Bosvoorde,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Heiligenborre,WB11,Fietsbox,5,0,50.7891,4.42107,Heiligenborre 90 1170 Watermaal-Bosvoorde,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
Kerckx,XL09,Fietsbox,5,0,50.83041,4.37441,Kerckxstraat x Maria-Hendrikastraat 1050 Elsene,abonnees,02 414 03 00,cycloparking@cyclo.org,www.cycloparking.brussels,60€/ jaar,jaarlijks abonnement,
