Naam organisatie,talen,NAAM,Locale ID,Eerste openingsdag,Finale Sluitingsdag,Reglement,Tijdelijk gesloten,Beschrijving,Straat Naam en Nummer,Postcode,Land,E_Website Organisatie,E_Naam Organisatie,P_Website Organisatie,P_Naam Organisatie,Website,Email,Telefoonnummer,Parkeerfaciliteit URI,Live API URI
Stad Deinze,Nederlands,Station Landegem,1,01/01/2019,,,NO,Stallingen rondom Landegem station,Stationstraat 95,9850,Belgium,,NMBS,,NMBS,,,,,
Stad Deinze,Nederlands,Sporthal Landegem,2,01/01/2019,,,NO,Stalling bij de sporthal Landegem,Stationstraat 17,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Bibliotheek Landegem,3,01/01/2019,,,NO,Stalling bij de bibliotheek Landegem,Stationstraat 20,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Kerk Landegem,4,01/01/2019,,,NO,Stalling bij Landegem Kerk,Landegemdorp 32,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Stopplaats Hansbeke,5,04/01/2019,,,NO,Stallingen bij stopplaats Hansbeke,Hansbekedorp,9850,Belgium,,NMBS,,NMBS,,,,,
Stad Deinze,Nederlands,Carpoolparking Nevele,6,01/01/2019,,,NO,Stalling bij carpoolparking Nevele,Biebuyckstraat,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Kerk Poesele,7,01/01/2019,,,NO,Stalling bij Poesele Kerk,Poeseledorp 1A,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Busstop Vierboomstraat,8,01/01/2019,,,NO,Stalling bij busstop ter hoogte van de Vierboomstraat,Graaf van hoornestraat,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Busstop Stelplaats,9,01/01/2019,,,NO,Stalling bij busstop ter hoogte van de stelplaats,Graaf van hoornestraat,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
Stad Deinze,Nederlands,Dienstencentrum Nevele,10,01/01/2019,,,NO,Stalling bij het dienstencentrum Nevele,Cyriel Buyssestraat 17,9850,Belgium,www.deinze.be,Stad Deinze,www.deinze.be,Stad Deinze,www.deinze.be,Info@deinze.be,093810500,,
