Entiteit,Gemeente,Deelgemeente,Titel,Station?,Ligging,XY Halte Hastus,GPS (locatie),Fietsbeugels (aantal),Overdekte fietsenstalling
Vlaams-Brabant,AARSCHOT,AARSCHOT,307729 Aarschot Demervallei,,,"50.983623,4.837784","4;50.9836346,4.8386126",Meer dan 5,Ja
Vlaams-Brabant,AFFLIGEM,ESSENE,300162 Essene Koudenberg,,Brusselbaan,"50.911712,4.130789","3;50.9117611,4.1307222",Meer dan 5,Ja
Vlaams-Brabant,AFFLIGEM,ESSENE,308790 Essene OLV-Kerk,,Ternatsestraat,"50.901437,4.13665","6;50.9013344,4.1366296",Meer dan 5,Ja
Vlaams-Brabant,ANDERLECHT,ANDERLECHT,300785 Anderlecht Sint-Guido,,Paul jansonlaan,"50.834451,4.305114","9;50.83458,4.3053174",Meer dan 5,Ja
Oost-Vlaanderen,ANTWERPEN,ANTWERPEN,204266 Antwerpen Van Eedenplein perron 1a,,Blancefloerlaan,"51.220695,4.386598","4;51.2207624,4.3866521",Meer dan 5,Ja
Oost-Vlaanderen,ANTWERPEN,ANTWERPEN,204273 Antwerpen Van Eedenplein perron 3,,Blancefloerlaan,"51.220697,4.386739","4;51.2208294,4.3868619",Meer dan 5,Ja
Oost-Vlaanderen,ANTWERPEN,ANTWERPEN,205280 Antwerpen P+R Linkeroever,,Blancefloerlaan,"51.219718,4.362042","4;51.2198683,4.3626855",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,102726 Antwerpen Halewijn,,,"51.220352,4.37953","3;51.2204449,4.3791702",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,102727 Antwerpen Halewijn,,,"51.220316,4.379556","3;51.2203311,4.3796961",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,102770 Antwerpen Harmonie,,Mechelsesteenweg,"51.201466,4.412823","4;51.2013369,4.4130547",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,102775 Antwerpen Harmonie,,Mechelsesteenweg,"51.201603,4.41274","4;51.2014111,4.4129267",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,104033 Antwerpen P+R Linkeroever,,Blancefloerlaan,"51.220415,4.362897","4;51.2202859,4.3627051",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,104034 Antwerpen P+R Linkeroever,,Blancefloerlaan,"51.219794,4.363087","4;51.2199834,4.3629715",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,104732 Antwerpen Van Eeden Metro,,,"51.22082,4.386622","4;51.2210172,4.3863375",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,104733 Antwerpen Van Eeden Metro,,,"51.220802,4.386896","4;51.2211547,4.3863694",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,102179 Antwerpen P+R Olympiade,,Populierenlaan,"51.184081,4.391672","3;51.1839597,4.3921472",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,102750 Antwerpen Harmonie,,Mechelsesteenweg,"51.201191,4.413014","4;51.2013413,4.4130764",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,102765 Antwerpen P+R Olympiade,,Populierenlaan,"51.184,4.392906","4;51.1838807,4.3928431",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,102790 Antwerpen P+R Olympiade,,Populierenlaan,"51.183811,4.393083","5;51.1839251,4.3929945",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,102938 Antwerpen P+R Olympiade,,Populierenlaan,"51.184174,4.391772","3;51.1841365,4.3916804",Meer dan 5,Ja
Antwerpen,ANTWERPEN,ANTWERPEN,103064 Antwerpen P+R Linkeroever,,Blancefloerlaan,"51.219776,4.362921","3;51.2200512,4.3630519",Meer dan 5,Ja
