"FID","Shape *","OBJECTID_1","id","ID_FIETS","X","Y","OBJECTID","tblalgemen","IDfietsens","MCSCode","MCSCodefie","MCSCodef_1","tblintermo","Positie","Betalend","Toegangsco","Afgesloten","Typevanafs","Eigenaarte","Eigenaarde","Kleinewege","Exploitant","Exploita_1","Infrastruc","specandere","Infrastr_1","specande_1","Infrastr_2","Infrastr_3","specande_2","Infrastr_4","Infrastr_5","specande_3","Bevestigin","Aantalplaa","Infrastr_6","Plaatsenfi","Plaatsen_1","Plaatsenba","Plaatsen_2","Plaatsenbr","Plaatsen_3","Plaatsenel","Plaatsen_4","Plaatsen_5","Plaatsen_6","Plaatsento","Plaatsen_7","Plaatsen_8","Camerabewa","voldoendev","beheerderv","weesfietse","opmerking","schattinga","Mogelijkhe","OpterreinN","Opterreind","Isernoodto","AantalInga","AantalUitg","Energiemet","Milieugeva","Branddetec","Anderetech","Aankondigi","Aankondi_1","Aankondi_2","Parkeerreg","Bordmettar","Signaletic","Signalet_1","Signalet_2","X_WGS84","Y_WGS84"
"0","Point","1","1","1","126780,158 m","181465,154 m","0","Aalst","1","30500030235","0"," ","Fietsenstalling f1","fietsgebouw voorkant","0","0","1","overdekt, staalstructuur","NMBS"," ","Nee"," "," ","Fietsgebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","type NMBS"," ","1","40","Goede staat","869","0","0","0","32","0","0","0","0","0","901","869","32","0","1","Stadsnet","1","fietsenstalling is gekoppeld op paal 1206 van Eandis","0"," ","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0"," ","4° 2' 13,602"" E","50° 56' 36,793"" N"
"1","Point","2","1","1","126758,069 m","181482,258 m","0","Aalst","1","30500030235","0"," ","Fietsenstalling f1","fietsgebouw voorkant","0","0","1","overdekt, staalstructuur","NMBS"," ","Nee"," "," ","Fietsgebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","type NMBS"," ","1","40","Goede staat","869","0","0","0","32","0","0","0","0","0","901","869","32","0","1","Stadsnet","1","fietsenstalling is gekoppeld op paal 1206 van Eandis","0"," ","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0"," ","4° 2' 12,466"" E","50° 56' 37,344"" N"
"2","Point","33","37","37","69420,371 m","210251,543 m","0","Brugge","37","30503093055","0"," ","Fietsenstalling f1","ondergronds KAM-gebouw","0","0","0"," ","Derde","NMBS / Belins","NVT"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","1621","0","0","0","32","0","0","0","0","0","1653","1621","32","0","-1","Eigen net","0","vuinisbak Engels selectief 2X + strooizout","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 12' 52,973"" E","51° 11' 49,723"" N"
"3","Point","85","88","88","107074,000 m","192196,343 m","0","Gentbrugge","88","30580004203","0"," ","Fietsenstalling f1","Aan ingang station onder spoorviaduct","0","0","0","NVT","NMBS"," ","Nee"," "," ","Overdekt (luifel)"," ","Onder viaduct"," ","0","Andere","Betonstraatstenen/asfalt"," ","Andere","166 NMBS/20 type stad","0","0","Te controleren","186","0","0","0","0","0","0","0","0","0","186","186","0","0","1","Eigen net","-1"," ","11"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 45' 19,732"" E","51° 2' 20,001"" N"
"4","Point","86","89","89","105930,367 m","194136,224 m","0","Gent-Dampoort","89","30580006617","0"," ","Fietsenstalling f1","op parking P1","0","0","0","NVT","NMBS"," ","Nee"," "," ","Open lucht"," "," "," ","0","Steenslag","Asfalt"," ","type NMBS"," ","0","0","Goede staat","0","1745","0","0","0","15","0","0","0","0","1760","1745","15","0","1","Eigen net","0","168 fietsen oktober 2017 van FGSP","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"," ","3° 44' 20,194"" E","51° 3' 22,463"" N"
"5","Point","87","90","90","105954,412 m","194100,325 m","0","Gent-Dampoort","90","30580006617","0"," ","Fietsenstalling f2","op parking P1","1","1","1","hekken","NMBS"," ","NVT"," "," ","Open lucht"," "," "," ","0","Andere","betonstraatstenen/steenslag"," ","type NMBS"," ","0","0","Goede staat","0","230","0","0","0","0","0","0","0","0","230","230","0","0","0"," ","0"," ","0"," ","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 44' 21,444"" E","51° 3' 21,307"" N"
"6","Point","88","91","91","105935,278 m","194246,460 m","0","Gent-Dampoort","91","30580006617","0"," ","Fietsenstalling f3","op pleintje voor station","0","0","0","NVT","NMBS"," ","Ja"," "," ","Open lucht"," "," "," ","0","Andere","Betonstraatstenen/asfalt"," ","Andere","Beugels","0","0","Goede staat","0","195","0","0","0","0","0","0","0","0","195","195","0","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 44' 20,398"" E","51° 3' 26,031"" N"
"7","Point","89","92","92","105946,962 m","194227,833 m","0","Gent-Dampoort","92","30580006617","0"," ","Fietsenstalling f4","tegen muur perronsporen","0","0","0","NVT","NMBS"," ","Ja"," "," ","Overdekt (luifel)"," ","Volle platen"," ","0","Betonstraatstenen"," "," ","Dubbel verdiep"," ","0","0","Goede staat","42","0","0","0","0","0","0","0","0","0","42","42","0","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 44' 21,006"" E","51° 3' 25,431"" N"
"8","Point","128","145","145","72131,501 m","168679,548 m","0","Kortrijk","145","30750041834","0"," ","Fietsenstalling f10","Bloemistenstraat","0","0","0","NVT","Stad/Gemeente"," ","Nee"," "," ","Openlucht"," "," "," ","0","Betonstraatstenen"," "," ","Andere","type stad","0","0","Goede staat","0","80","0","0","0","0","0","0","0","0","80","80","0","0","1","Stadsnet","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 15' 44,443"" E","50° 49' 25,957"" N"
"9","Point","129","146","146","72190,214 m","168845,855 m","0","Kortrijk","146","30750041834","0"," ","Fietsenstalling f11","stationsplein","0","0","0","NVT","Stad/Gemeente"," ","Nee"," "," ","Overdekt (luifel)"," ","Doorzichtige platen"," ","0","Asfalt"," "," ","Andere","type NMBS oud/type stad","0","0","Goede staat","714","55","0","0","0","0","0","0","0","0","769","769","0","0","-1","Stadsnet","0","Grond Stad, maar NMBS heeft tijdens de werkzaamheden toelating tot inname domein.","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 15' 47,316"" E","50° 49' 31,367"" N"
