FID,OBJECTID_1,id,ID_FIETS,X,Y,OBJECTID,tblalgemen,IDfietsens,MCSCode,MCSCodefie,MCSCodef_1,tblintermo,Positie,Betalend,Toegangsco,Afgesloten,Typevanafs,Eigenaarte,Infrastruc,Plaatsenfi,Plaatsen_1,Plaatsenba,Plaatsen_2,Plaatsenbr,Plaatsen_3,Plaatsenel,Plaatsen_4,Plaatsen_5,Plaatsen_6,Plaatsento,Plaatsen_7,Plaatsen_8,Camerabewa,voldoendev,X_WGS,Y_WGS
992,0,1103,1103, , ,0, ,1103,0,0, ,Fietsenstalling f1,fietsgebouw voorkant,0,0,1,"overdekt, staalstructuur",NMBS,Fietsgebouw,869,0,0,0,32,0,0,0,0,0,901,869,32,0,1,"4° 2' 13,602"" E","50° 56' 36,793"" N"
993,0,1104,1104, , ,0, ,1104,0,0, ,Fietsenstalling f1,fietsgebouw voorkant,0,0,1,"overdekt, staalstructuur",NMBS,Fietsgebouw,869,0,0,0,32,0,0,0,0,0,901,869,32,0,1,"4° 2' 12,466"" E","50° 56' 37,344"" N"
994,0,421,421, , ,0, ,421,0,0, ,Fietsenstalling f1,aan perron 1/Ledebaan,0,0,0,NVT,NMBS,Overdekt (luifel),14,0,0,0,0,0,0,0,0,0,14,14,0,0,1,"4° 1' 24,944"" E","50° 56' 55,856"" N"
995,0,983,983, , ,0, ,983,0,3053071507, ,Fietsenstalling f1,naast stationsgebouw,0,0,-1,Haag,NMBS,Overdekt (luifel),258,0,0,0,8,0,0,0,0,0,266,258,8,0,1,"3° 26' 50,850"" E","51° 5' 34,412"" N"
996,0,984,984, , ,0, ,984,0,3503071508, ,Fietsenstalling f2,Spoorweglaan,0,0,0, ,NMBS,Overdekt (luifel),264,0,0,0,8,0,0,0,0,0,272,264,8,0,1,"3° 26' 50,032"" E","51° 5' 32,790"" N"
997,0,982,982, , ,982, ,982,0,30503071509, ,Fietsenstalling f3,Spoorweglaan,0,0,-1, ,NMBS,Open lucht,0,102,0,0,0,0,0,0,0,0,102,102,0,0,0,"3° 26' 48,771"" E","51° 5' 33,036"" N"
998,0,1105,1105, , ,0, ,1105,0,0, ,Fietsenstalling f1,naast perron 1,0,0,0, ,NMBS,Overdekt (luifel),28,0,0,0,0,0,0,0,0,0,28,28,0,0,1,"3° 24' 57,423"" E","50° 59' 6,873"" N"
999,0,1107,1107, , ,0, ,1107,0,0, ,Fietsenstalling f1,Statieplein aan overweg,0,0,0,NVT,NMBS,Overdekt (luifel),78,0,0,0,4,0,0,0,0,0,82,78,4,0,-1,"3° 29' 29,561"" E","50° 49' 37,151"" N"
1000,0,1110,1110, , ,0, ,1110,0,0, ,Fietsenstalling f2,Gijzelbrechtegemstraat/perron 2,0,0,0,NVT,NMBS,Overdekt (luifel),48,0,0,0,4,0,0,0,0,0,52,48,4,0,1,"3° 29' 32,346"" E","50° 49' 37,612"" N"
1001,0,1112,1112, , ,0, ,1112,0,0, ,Fietsenstalling f1,Stationsplein naast stationsgebouw,0,0,0,NVT,NMBS,Overdekt (luifel),59,0,0,0,0,0,0,0,0,0,59,59,0,0,-1,"4° 12' 24,783"" E","50° 54' 25,113"" N"
