tblalgemenegegevens.Naam,ID fietsenstalling,MCS_Code,MCS_Code fiets,MCS_Code fiets opmerking,tblintermodaliteitfietsenstalling.Naam,Positie,Betalend?,Toegangscontrole?,Afgesloten fietsenstalling,Type van afsluiting,Eigenaar terrein,Eigenaar derde,Kleine wegenis,Exploitant,Exploitant derde,Infrastructuur Type,spec andere type,Infrastructuur Type overkapping,spec andere overkapping,Infrastructuur opp overkapping,Infrastructuur Type verharding,spec andere verharding,Infrastructuur Opp verharding,Infrastructuur Type fietsrek,spec andere fietsrek,Bevestigingsbaar voor motos,Aantal plaatsen aan bevestigingsbaar voor motos,Infrastructuur Toestand,Plaatsen fietsen overdekt,Plaatsen fietsen openlucht,Plaatsen bakfiets overdekt,Plaatsen bakfiets openlucht,Plaatsen bromfiets overdekt,Plaatsen bromfiets openlucht,Plaatsen elektrische fiets overdekt,Plaatsen elektrische fiets openlucht,Plaatsen elektrische moto overdekt,Plaatsen elektrische moto openlucht,Plaatsen totaal,Plaatsen totaal fiets,Plaatsen totaal moto,Camerabewaking,voldoende verlichting,beheerder verlichting,weesfietsen,opmerking,schatting aantal,Mogelijkheid tot uitbreiding van de parking,Op terrein NMBS,Op terrein derden,Is er nood tot uitbreiding fietstenstallingen,Bekleding_vloer,Beperkte toegankelijkheid,Type van beperking,Aantal Ingangen,Aantal Uitgangen,Energiemeters aanwezig?,Milieu gevaarlijke installaties aanwezig?,Branddetectie aanwezig?,Lokaal van het waarschuwingsbord,Andere technische installaties,Aankondigingspaal parking aanwezig,Aankondigingspaal parking voorzien van verlichting,Aankondigingspaal parking voorzien aankonding vrij/volzet,Parkeerreglement aanwezig,Bord met tarificatie aanwezig,Signaletica op straat,Signaletica op de parking,Signaletica naar stationsgebouw of perron,Toestand uitrustingen,Type gevel,Oppervlakte beglazing,Type verlichting
Aalst,1,30500030235,,,Fietsenstalling f1,fietsgebouw voorkant,0,0,1,"overdekt, staalstructuur  ",NMBS,,Nee,,,Fietsgebouw,,Fietsgebouw,,,Beton,,,type NMBS,,1,40,Goede staat,869,0,0,0,32,0,0,0,0,0,901,869,32,0,1,Stadsnet,1,fietsenstalling is gekoppeld op paal 1206 van Eandis,0,,0,0,0,,,,2,,0,0,0,,0,0,0,0,1,0,,,,,,,
Aalst,2,30500030235,,,Fietsenstalling f2,parking P1a,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Golfplaten,,,Asfalt,,,type NMBS,,0,0,Goede staat,200,0,0,0,0,0,0,0,0,0,200,200,0,0,1,Eigen net,1,,4,,0,0,0,,,,,,0,0,0,,0,0,0,0,1,0,,,,,,,
Aalst-Kerrebroek,3,30820002003,,,Fietsenstalling f1,aan perron 1/Ledebaan,0,0,0,NVT,NMBS,,Ja,,,Overdekt (luifel),,Standaardtype 1 (boog),,,Klinkers,,,type NMBS,,0,0,Goede staat,14,0,0,0,0,0,0,0,0,0,14,14,0,0,1,,-1,2 weessloten,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Aalter,4,30503071521,3053071507,,Fietsenstalling f1,naast stationsgebouw,0,0,-1,Haag,NMBS,,Nee,NMBS,,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,Wielklemmen laag,,1,6,Goede staat,258,0,0,0,8,0,0,0,0,0,266,258,8,0,1,Stadsnet,1,paar wielklemmen met bereikbaar door luifelstructuur => vol,1,,0,0,0,,,,3,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
Aalter,5,30503071521,3503071508,,Fietsenstalling f2,Spoorweglaan,0,0,0,,NMBS,,Ja,,,Overdekt (luifel),,Volle platen,,,Klinkers,,,Wielklemmen laag,,1,8,Goede staat,264,0,0,0,8,0,0,0,0,0,272,264,8,0,1,Stadsnet,-1,"Fietsenstalling verzadigd veel fietsen tegen hek",3,,0,0,0,,,,3,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
Aalter,6,30503071521,30503071509,,Fietsenstalling f3,Spoorweglaan,0,0,-1,,NMBS,,Ja,,,Open lucht,,,,,Klinkers,,,type NMBS,,0,0,Goede staat,0,102,0,0,0,0,0,0,0,0,102,102,0,0,0,,1,fietsenstalling verzadigd,3,,0,0,0,,,,2,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
Aarsele,7,30730023407,,,Fietsenstalling f1,naast perron 1,0,0,,,NMBS,,Nee,B-Parking (NMBS),,Overdekt (luifel),,Standaardtype 1 (boog),,,Klinkers,,,type NMBS,,0,,Goede staat,28,0,0,0,0,0,0,0,0,0,28,28,0,0,1,Eigen net,0,,0,,0,0,0,,,,,,0,0,0,,0,,0,0,,0,,,,,,,
Anzegem,8,30890045911,,,Fietsenstalling f1,Statieplein aan overweg,0,0,0,NVT,NMBS,,Nee,B-Parking (NMBS),,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,type NMBS,,1,4,Goede staat,78,0,0,0,4,0,0,0,0,0,82,78,4,0,-1,Eigen net,0,,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Anzegem,9,30890045911,,,Fietsenstalling f2,Gijzelbrechtegemstraat/perron 2,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,type NMBS,,1,0,Goede staat,48,0,0,0,4,0,0,0,0,0,52,48,4,0,1,Eigen net,-1,,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Appelterre,10,30900036208,,,Fietsenstalling f1,naast stationsgebouw,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Standaardtype 1 (boog),,,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,42,0,0,0,0,0,0,0,0,0,42,42,0,0,1,Eigen net,-1,,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Asse,11,30600014009,,,Fietsenstalling f1,Stationsplein naast stationsgebouw,0,0,0,NVT,NMBS,,Ja,,,Overdekt (luifel),,Doorzichtige platen,,,Klinkers,,,Wielklemmen laag,,0,0,Te controleren,59,0,0,0,0,0,0,0,0,0,59,59,0,0,-1,,-1,op 16/10/2018 in werffase van de ophoging van de perrons zijn er 72 plaatsen in de stalling,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Asse,12,30600014009,,,Fietsenstalling f2,Reizigersparking naast Fietspunt,0,0,0,NVT,NMBS,,Ja,,,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,Wielklemmen laag,,0,0,Te controleren,60,0,0,0,0,0,0,0,0,0,60,60,0,0,-1,,-1,stalling niet in gebruik tijdens ophogingswerken van de perrons. 60 open rekken type wielplooier op parking P2,2,,0,0,0,,,,,,0,0,0,,0,0,0,0,1,0,,,,,,,
Asse,13,30600014009,,,Fietsenstalling f3,Stationsplein aan bushalte,0,0,0,NVT,Stad/Gemeente,,Nee,,,Overdekt (luifel),,Doorzichtige platen,,,Klinkers,,,Wielklemmen laag,,0,0,Goede staat,60,0,0,0,0,0,0,0,0,0,60,60,0,-1,0,,-1,,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,1,0,,,,,,,
